Sitename,Site_code,Country,Site_type,Latitude,Longitude,Labcode,Layer/SU/UNIT/LOCUS,Yrs BP,STD,Mat,dc13,pottery,SEQUENCE,REFERENCE_C14,STRATIGRAPHY,
Busharia_I_Site44,Bu44,SUDAN,OpenAir,19.631,30.48,ETH30345,EARTH SURFACE,8465,70,CH,,1,NA,,,
Busharia_I_Site45,Bu45,SUDAN,OpenAir,19.631,30.48,ETH30046,SURFACE,9040,70,OES,,1,NA,,,
Busharia_I_Site45,Bu45,SUDAN,OpenAir,19.631,30.48,ETH35679,A2/CUT2,8880,55,OES,,1,NA,,,
Busharia_I_Site45,Bu45,SUDAN,OpenAir,19.631,30.48,ETH31782,B2/L4,8860,65,OES,,1,NA,,,
Busharia_I_Site45,Bu45,SUDAN,OpenAir,19.631,30.48,ETH40528,A2/L4,8845,45,OES,,1,NA,,,
Busharia_I_Site84,Bu84,SUDAN,OpenAir,19.631,30.48,ETH30048,SURFACE,8840,70,MLC_U,,1,NA,,,
Catfish_Cave,CTFCAT,EGYPT,RS,22.72,32.12,Y1649,NA,7105,120,CH,,0,NA,Wendt and Reed 1966,,
Catfish_Cave,CTFCAT,EGYPT,RS,22.72,32.12,Y1646,L4,7060,120,CH,,0,NA,,,
Chufu,CHF,EGYPT,OpenAir,25.56,28.59,KIA18413,NA,7955,55,NA,,0,NA,Gehlen et al. 2002,,
Chufu,CHF,EGYPT,OpenAir,25.56,28.59,KIA18412,NA,7160,35,NA,,0,NA,,,
Chufu,CHF,EGYPT,OpenAir,25.56,28.59,KIA18414,NA,7000,35,NA,,0,NA,,,
Chufu,CHF,EGYPT,OpenAir,25.56,28.59,KIA18416,NA,6960,35,NA,,0,NA,,,
Chufu_02/14,CHF_02/14,EGYPT,OpenAir,24.43,27.64,KIA21540,NA,6165,50,Cer_VEG,,1,NA,Riemer & Jesse 2006,,
Conical_Hill,CNCHLL,SUDAN,OpenAir,17.39,27.63,Hv14438,NA,7260,70,NA,,1,NA,,,
Conical_Hill,CNCHLL,SUDAN,OpenAir,17.39,27.63,Hv14437,NA,6630,65,NA,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD7088,GRIDB,7340,70,OES,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD7963,H106,7270,90,OES,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GDS1,FEAT1,7230,95,CH,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GDS2,FEAT3,7120,90,CH,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD7717,FEAT3,7110,60,OES,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD7967,H106,7110,90,CH,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD6632,GRIDDHOLLOW,7000,80,OES,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD6638,H173,6920,80,CH,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GDS7,FEAT2,6910,100,CH,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD6636,H1,6860,80,CH,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD6637,H4,6840,80,CH,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD7968,270CH106,6700,60,CH,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD6645,H173,6640,80,CH,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GDS8,FEAT2,6620,90,CH,,1,NA,,,
Dakhla_Site_270,DKHL270,EGYPT,OpenAir,25.67,28.83,GD5722,270SWCORNER,6470,70,OES,,1,NA,,,
Dakhla_Site_306A,DKHL306A,EGYPT,OpenAir,25.67,28.83,GDS3,K20J19,7250,100,CH,,1,NA,,,
Dakhla_Site_306A,DKHL306A,EGYPT,OpenAir,25.67,28.83,GDS4,J19,6840,95,CH,,1,NA,,,
Dakhla_Site_307,DKHL307,EGYPT,OpenAir,25.67,28.83,GDS6,E3DL1&2,7260,90,CH,,1,NA,,,
Dakhla_Site_307,DKHL307,EGYPT,OpenAir,25.67,28.83,GDS5,F3dL2,7180,90,CH,,1,NA,,,
Damatoumou,DMADUM,MALI,OpenAir,14.4,-3.44,ETH18652,PHASE2,8300,70,CH,,0,NA,Huysecome et al. 2003,,
Damatoumou,DMADUM,MALI,OpenAir,14.4,-3.44,ETH20213,PHASE2,8210,70,CH,,0,NA,Huysecome et al. 2003,,
Delebo,DLB,CHAD,RS,17.2,21.25,Gif351,NA,7200,300,CH,,1,NA,Bailloud 1969,,
Delebo,DLB,CHAD,RS,17.2,21.25,Gif352,NA,6900,300,CH,,1,NA,Bailloud 1969,,
Dibeira_west_DIW1,DIW1,EGYPT,OpenAir,22.08,31.35,WSU175,NA,9390,180,CH,,0,NA,,,
Dibeira_west_DIW1,DIW1,EGYPT,OpenAir,22.08,31.35,WSU176,NA,7700,120,CH,,0,NA,Wendorf et al. 1968,,
Dibeira_west_DIW5,DIW5,EGYPT,OpenAir,22.08,31.35,Tx1155,NA,6540,110,OES,,0,NA,Wendorf et al. 1969,,
Dibeira_west_DIW50,DIW50,EGYPT,OpenAir,22.08,31.35,SMU2,NA,5880,150,CH,,1,NA,,,
Dibeira_west_DIW51,DIW51,EGYPT,OpenAir,22.08,31.35,SMU582,NA,8860,90,CH,,0,NA,Close ,,
Dibeira_west_DIW53,DIW53,EGYPT,OpenAir,22.08,31.35,SMU4,NA,7910,120,CH,,0,NA,,,
