"Sitename","Site_code","Latitude","Longitude","ToCheck"
"In_Sakane_AZ54","ISKN_AZ54",20.6,-0.85,FALSE
"Kabbashi_Haitah","KBBH",15.88,32.58,FALSE
"Kadda","KDDKDD",26.2,-0.88,FALSE
"Kharga_KS121_LA","KHRGKS121",25.65,30.63,FALSE
"Kharga_KS179_DI","KHRGKS179",25.65,30.63,FALSE
"Kharga_KS179_LD55","KHRGKS179LD55",25.65,30.63,FALSE
"Kharga_KS179_LD_58_1","KHRGKS179LD58",25.65,30.63,FALSE
"Kharga_KS192LB","KHRGKS192LB",25.65,30.63,FALSE
"Kharga_KS_241_LI_235","KHRGKS241",25.65,30.63,FALSE
"Kharga_KS43","KHRGKS43",25.65,30.63,FALSE
"Kharga_KS52","KHRGKS52",25.65,30.63,FALSE
"Kharga_ML1","KHRGML1",25.65,30.63,FALSE
"Konduga","KNDG",11.79,13.42,FALSE
"Koro_Toro","KROTOR",16.08,18.48,FALSE
"El_Kortein_E77-3","KRTE773",22.75,30.75,FALSE
"El_Kortein_E77-5","KRTE775",22.75,30.75,FALSE
"El_Kortein_E77-5A","KRTE775A",22.75,30.75,FALSE
"Great_Sand_Sea_LOBO_81/55-1","LOBO81/55-1",25.12,25.62,FALSE
"Largeau","LRGLER",17.93,18.12,FALSE
"Les_Burins","LS BSS",32.03,5.25,FALSE
"Madama","MDAMAD",21.98,13.57,FALSE
"Midauwara_18","MDAWR18",24.96,30.87,FALSE
"Midauwara_43","MDAWR43",24.96,30.87,FALSE
"Midauwara_05","MDAWR5",24.96,30.87,FALSE
"Mudpans_83/39","MDPNS83/39",24.43,27.65,FALSE
"Mudpans_85/50-1","MDPNS85/50-1",24.43,27.65,FALSE
"Mudpans_85/56","MDPNS85/56",24.43,27.65,FALSE
"Manceron_I","MNCIIN",31.92,6.28,FALSE
"Mandi","MNDMNN",13.42,14.67,FALSE
"Mansurab_ouest","MNSMON",15.37,32.35,FALSE
"Mansurab","MNSMRN",15.38,32.67,FALSE
"Mirghissa","MRGMSR",21.83,31.33,FALSE
"Murzuq_MT126","MRZMT1R",24.67,12.1,FALSE
"Oum_el_Assel_MT25","OM MTSM",23,-4.5,FALSE
"Ounianga_Kebir","ONIKKN",19.06,20.49,FALSE
"Ounianga","ONIONG",19.06,20.49,FALSE
"Ounjougou_Ravin_de_la_Mouche","ONJ_RDM",14.6333,-3.2333,FALSE
"Wadi_Howar_Rahib_80/73","RAHIB8073",17.55,26.95,FALSE
"Wadi_Howar_Rahib_80/87-3","RAHIB8087-3",17.55,26.95,FALSE
"Rabah_In","RBAHI",34.43,5.13,FALSE
"Rabah_II","RBAII_B",34.43,5.13,FALSE
"Rabah_III","RBAIIIIB",34.43,5.13,FALSE
"Rabah","RBARBB",34.43,5.13,FALSE
"Rabah_4","RBARHB",34.43,5.13,FALSE
"Rabah_V","RBAVH",34.43,5.13,FALSE
"Regenfeld_87/2","RGEREG87/2",24.74,27.13,FALSE
"Regenfeld_96/1","RGEREG96/1",24.74,27.13,FALSE
"Regenfeld_96/1-1","RGEREG96/1-1",24.74,27.13,FALSE
"Regenfeld_96/1-2","RGEREG96/1-2",24.74,27.13,FALSE
"Regenfeld_96/1-3","RGEREG96/1-3",24.74,27.13,FALSE
"Regenfeld_96/1-5","RGEREG96/1-5",24.74,27.13,FALSE
"Regenfeld_96/15","RGEREG96/15",24.74,27.13,FALSE
"Regenfeld_96/19","RGEREG96/19",24.74,27.13,FALSE
"Regenfeld_96/20","RGEREG96/20",24.74,27.13,FALSE
"Ravin_du_Hibou","RVHB",14.4,-3.45,FALSE
"Sphinx","SBK.W-60",16.31243,32.63504,FALSE
"Saggai_1","SGG1",15.87,32.58,FALSE
"Shabona","SHB",14.63,32.27,FALSE
"Sheikh_El_Obeiyid","SHKELOBYD",26.66,27.5,FALSE
"Sheikh_Mustafa_1","SHMF1",15.88,32.61,FALSE
"Shyiata_Siwa_75/1","SHYT_SW75/1",29.5,25.08,FALSE
"Selima_SOP1024","SLMSOP1024",21.37,29.32,FALSE
"Tiltekin_1_Site_Launey","SLY",23.35,5.73,FALSE
"Shaqadud_Midden_(SI-B)","SQD",16.25,33.3,FALSE
"Shaqadud_S21","SQDS21",16.25,33.3,FALSE
"Sarourab_II","SRB2",15.85,32.55,FALSE
"Sitra_83/07","STR83/07",28.67,26.67,FALSE
"Sitra_83/12","STR83/12",28.67,26.67,FALSE
"Sitra_85/05","STR85/05",28.67,26.67,FALSE
"Sitra_85/05-2","STR85/05-2",28.67,26.67,FALSE
"Sitra_85/06","STR85/06",28.67,26.67,FALSE
"Sitra_85/12","STR85/12",28.67,26.67,FALSE
"Sitra_85/14","STR85/14",28.67,26.67,FALSE
"Sitra_85/05-4","STR85/5-4",28.67,26.67,FALSE
"Siwa_75/29","SW75/29",29.33,25.17,FALSE
"Siwa_75/30","SW75/30",29.63,26.5,FALSE
"Siwa_76/11-7","SW76/11",29.83,26.17,FALSE
"Siwa_76/24","SW76/24",29.83,26.17,FALSE
"Takarkori","TAK",24.56,10.49,FALSE
"Tagalagal","TGL",17.83,8.77,FALSE
"Tagra","TGR",13.93,32.36,FALSE
"Tin_Hanakaten","THNK",23.88,10.37,FALSE
"Timidouin","TMITUM",24.33,5.58,FALSE
"Temet","TMT",19.93,8.67,FALSE
"Tamaya_Mellet_TMY3","TMY3",17.75,5.37,FALSE
"Tin_Amenser","TNAEN",22.92,5.1,FALSE
"Tintan_pecheurs","TNTTPECH",20.87,-16.7,FALSE
"Tintan","TNTTTN",20.88,-16.68,FALSE
"Tin_Ouaffadene","TOFF",20.17,9.18,FALSE
"Tin_Ouaffadene_A","TOFFA",20.17,9.18,FALSE
"Tin_Ouaffadene_B","TOFFB",20.17,9.18,FALSE
"Tin_Ouaffadene_C","TOFFC",20.17,9.18,FALSE
"Tarso_Yega","TRSYAR",20.67,17.38,FALSE
"Tin_Torha_East","TTE",25.38,10.51,FALSE
"Tin_Torha_North","TTN",25.38,10.51,FALSE
"Tin_Tartait","TTRT",24.76,9.52,FALSE
"Tin_Torha_Two_Caves","TTTC",25.38,10.51,FALSE
"Uan_Afuda","UAF",24.85,10.49,FALSE
"Um_Direiwa_I","UDIA ",15.72,32.62,FALSE
"Uan_Kasa_94/66","UK9466",25.2,10.8,FALSE
"Uan_Kasa_97/90","UK9790",25.32,10.96,FALSE
"Uan_Muhuggiag","UMG",24.86,10.54,FALSE
"Umm_Marrahi","UMRH",16,32.55,FALSE
"Umm_Singid","UMSG",16,32.57,FALSE
"Uan_Tabu","UTB",24.9,10.62,FALSE
"Uan_Telocat","UTELOCAT",24.99,11,FALSE
"Wadi_El_Arab_Site41","WARB",19.631,30.48,FALSE
"Wadi_Shaw83/117","WDSHW83-117",20.43,27.28,FALSE
"Wadi_Shaw83/108","WDSHW83108",20.43,27.28,FALSE
"Wadi_el_Akhdar_80/70-1","WEA80/7-1",23.33,25.88,TRUE
"Wadi_el_Akhdar_80/7-1","WEA80/7-1",23.33,25.88,TRUE
"Wadi_el_Akhdar__83/33","WEA83/33",23.33,25.88,FALSE
"Wadi_el_Bakht","WEB",23.18,26.03,FALSE
"Wadi_el_Bakh_82/13","WEB82/13",23.28,26.3,TRUE
"Wadi_el_Bakht_82/13","WEB82/13",23.18,26.03,TRUE
"Wadi_el_Bakht_82/21-1","WEB82/21-1",23.18,26.03,FALSE
"Wadi_el_Bakht_99/53","WEB99/53",23.28,26.3,FALSE
"Westpans_85/52","WSTPNS85/52",24.21,27.55,FALSE
